label,variant,surface_mode,r425_effective,root_file,entries,mean_total_nph,std_total_nph,median_total_nph,p10_total_nph,p90_total_nph,frac_nph_gt_0,mean_active_channels_nph_ge_1,efficiency_nph_ge_1,efficiency_nph_ge_2,efficiency_nph_ge_5,efficiency_nph_ge_10,efficiency_nph_ge_20,efficiency_nph_ge_30,ratio_to_tio2_baseline,ratio_vikuiti_to_model,estimated_npe_mean_pde30
TiO2 baseline,tio2,default,,diagnostics/instrument_response/tio2_epoxy_sweep/outputs/sweep_tio2_baseline.root,500,2.56,1.87467,2,0.9,5,0.9,1.39,0.466,0.108,0.002,0,0,0,1,12.6688,0.768
TiO2+epoxy R425=0.930 diffuse,tio2_epoxy,diffuse,0.93,diagnostics/instrument_response/tio2_epoxy_sweep/outputs/sweep_tio2_epoxy_R425_0p930_diffuse.root,500,2.56,1.87467,2,0.9,5,0.9,1.39,0.466,0.108,0.002,0,0,0,1,12.6688,0.768
TiO2+epoxy R425=0.950 diffuse,tio2_epoxy,diffuse,0.95,diagnostics/instrument_response/tio2_epoxy_sweep/outputs/sweep_tio2_epoxy_R425_0p950_diffuse.root,500,9.3,4.7085,9,5,14,1,2.008,0.964,0.818,0.202,0.008,0,0,3.63281,3.48731,2.79
TiO2+epoxy R425=0.970 diffuse,tio2_epoxy,diffuse,0.97,diagnostics/instrument_response/tio2_epoxy_sweep/outputs/sweep_tio2_epoxy_R425_0p970_diffuse.root,500,180.59,62.7771,166,137,234,1,2.046,1,1,1,1,1,1,70.543,0.179589,54.177
TiO2+epoxy R425=0.970 specular,tio2_epoxy,specular,0.97,diagnostics/instrument_response/tio2_epoxy_sweep/outputs/sweep_tio2_epoxy_R425_0p970_specular.root,500,182.46,61.4385,167,137.9,232.2,1,2.05,1,1,1,1,1,1,71.2734,0.177749,54.738
TiO2+epoxy R425=0.980 diffuse,tio2_epoxy,diffuse,0.98,diagnostics/instrument_response/tio2_epoxy_sweep/outputs/sweep_tio2_epoxy_R425_0p980_diffuse.root,500,200.97,68.294,184,149,263,1,2.056,1,1,1,1,1,1,78.5039,0.161377,60.291
TiO2+epoxy R425=0.985 diffuse,tio2_epoxy,diffuse,0.985,diagnostics/instrument_response/tio2_epoxy_sweep/outputs/sweep_tio2_epoxy_R425_0p985_diffuse.root,500,216.076,76.372,195.5,163,278,1,2.054,1,1,1,1,1,1,84.4047,0.150095,64.8228
TiO2+epoxy R425=0.985 specular,tio2_epoxy,specular,0.985,diagnostics/instrument_response/tio2_epoxy_sweep/outputs/sweep_tio2_epoxy_R425_0p985_specular.root,500,216.902,64.8599,200.5,166,279.2,1,2.046,1,1,1,1,1,1,84.7273,0.149524,65.0706
TiO2+epoxy R425=0.990 diffuse,tio2_epoxy,diffuse,0.99,diagnostics/instrument_response/tio2_epoxy_sweep/outputs/sweep_tio2_epoxy_R425_0p990_diffuse.root,500,248.068,82.5805,225,186,320.2,1,2.044,1,1,1,1,1,1,96.9016,0.130738,74.4204
Vikuiti baseline,vikuiti,specular,,diagnostics/instrument_response/tio2_epoxy_sweep/outputs/sweep_vikuiti_baseline.root,500,32.432,13.5494,30,22,45,1,2.04,1,1,0.994,0.788,0.038,0.004,12.6688,1,9.7296
